"","site","stream","month","day","year","latitude","longitude","huc4","habitat_sampled_length_m","prosper_ma","MJJA_HIST","BFICat","ICI_v2_1","wet_dry","wet_dry_01","wet_wetdry_dry","mean_depth_m","max_depth_m","mean_width_m","depth_x_width_m2","discharge_m3_s","mean_velocity_m_s","percent_pool","percent_riffle","percent_run","wetted_area_m2","wetted_area_per100m","temp_c","conductivity","specific_cond","percent_do","do_mg_L","turbidity_cm","dom_substrate"
"65","LP5","Lodgepole Creek",6,22,2023,41.24014,-104.46549,"1019",260,0.764527258,13.58662128,64.8482,0.464267808179694,"Wet",1,"Wet",0.15142857,0.34,1.5857143,0.2401224,0.006576,0.049333333,53.3965826,0.6968201,45.9065973,451.336,173.591,16.7,264.2,313.7,61.7,5.99,95,"Silt, gravel"
"66","LP6","Lodgepole Creek",6,29,2023,41.23969,-104.4767,"1019",260,0.76750909,13.58662128,64.8482,0.464267808179694,"Wet",1,"Wet",0.13357143,0.32,1.2257143,0.49308735,0.0022557,0.018666667,27.2253623,9.3876221,63.3870156,309.972,119.22,19,373,420.9,92.2,8.54,95,"Silt, gravel, some larger rocks"
"67","LP7","Lodgepole Creek",6,28,2023,41.24047,-104.48567,"1019",260,0.763412111,13.58662128,64.8482,0.464267808179694,"Wet",1,"Wet",0.194,0.54,1.7835714,0.34601286,0.0028014,0.017333333,55.342937,0,44.657063,843.085,324.263,16,331.6,400.1,44.1,4.35,95,"Silt, some gravel"
"68","LP8","Lodgepole Creek",8,17,2023,41.24015,-104.48809,"1019",260,0.766078794,13.58662128,64.8482,0.464267808179694,"Dry",0,"WetDry",0.169,0.5,1.965,0.332085,NA,NA,39.4843174,0,60.5156826,287.58,110.608,16,209.1,252.3,44,4.35,95,"Silt, lots of vegetation"
"69","MGL2","Muddy Creek (Glendo)",7,10,2023,42.59949,-104.93953,"1018",100,0.697042416,1.04987621,52,0.386363354337666,"Wet",1,"Wet",NA,NA,3.232,NA,NA,NA,0,0,100,504.195,504.195,19.2,320.4,360.4,1.1,0.11,80.5,"Silt"
"70","MGL3","Muddy Creek (Glendo)",8,21,2023,42.62274,-104.92633,"1018",260,0.67423031,0.96549076,51.1603,0.785813766158002,"Wet",1,"Wet",0.14385714,0.26,0.6114286,0.08795837,0.00531433,0.033333333,0,1.0050005,98.9949995,142.786,54.918,20.3,256.3,281.4,69.2,6.25,57,"Silt, cobble"
"71","MGL5","Muddy Creek (Glendo)",8,22,2023,42.65612,-104.83703,"1018",260,0.655690899,0.8229143,52,0.863331198629278,"Wet",1,"Wet",NA,NA,2.4314286,NA,NA,NA,75.0046319,0,24.9953681,642.291,247.035,18,274.8,316.8,142.4,13.47,95,"Silt"
"72","MGL6","Muddy Creek (Glendo)",8,23,2023,42.65367,-104.82366,"1018",260,0.646478796,0.8229143,52,0.863331198629278,"Dry",0,"WetDry",0.0656,0.3,0.936,0.0614016,NA,NA,74.6090292,0,25.3909708,61.002,23.462,17.8,210.1,243.5,47.7,4.53,95,"Silt"
"73","MGL7","Muddy Creek (Glendo)",NA,NA,2023,42.72726,-104.72559,"1018",260,0.42,0.13981472,52.6514,0.804371657703671,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"74","MLP0","Muddy Creek (LP)",NA,NA,2023,41.15595,-104.09061,"1019",260,0.63996364,14.38995934,67.9105,0.303194032937769,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"75","MLP1","Muddy Creek (LP)",NA,NA,2023,41.11699,-104.11191,"1019",260,0.644963633,14.38995934,67.9105,0.303194032937769,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"76","MLP1-2","Muddy Creek (LP)",6,21,2023,41.09706,-104.13492,"1019",260,0.661581811,4.25043058,67.4127,0.346428411558055,"Wet",1,"Wet",0.19814286,0.55,3.0621429,0.60674173,0.07364,0.054,1.1078305,1.8719826,97.0201869,2498.848,961.095,19.1,438.3,494.3,70.8,6.55,95,"Silt, some gravel"
"77","MLP2","Muddy Creek (LP)",6,20,2023,41.10106,-104.15552,"1019",260,0.681351508,4.25043058,67.4127,0.346428411558055,"Wet",1,"Wet",0.23914286,0.46,1.7421429,0.41662102,0.050749,0.068666667,0,0,100,2159.506,830.579,18.3,403.6,462.7,78.2,7.35,95,"Silt, some submerged vegetation"
"78","MLP3","Muddy Creek (LP)",8,8,2023,41.12196,-104.21717,"1019",260,0.673454539,3.9744339,65.0334,0.316953867904315,"Wet",1,"Wet",0.23457143,0.56,1.9407143,0.45523612,0.05269338,0.158666667,9.4656179,45.0665313,45.4678508,492.625,189.471,14.6,258.5,322,91.4,9.28,95,"Gravel, silt"
"79","MLP4","Muddy Creek (LP)",8,16,2023,41.13206,-104.25468,"1019",260,0.665496972,3.9744339,65.0334,0.316953867904315,"Wet",1,"Wet",0.19971429,0.48,1.17,0.23366571,0.02827287,0.121333333,0.4843312,9.408121,90.1075479,205.025,78.856,15.4,218.3,267.4,74.9,7.48,57,"Silt, gravel"
"80","MLP5","Muddy Creek (LP)",8,7,2023,41.13569,-104.2756,"1019",260,0.667012128,1.46871972,65.6024,0.359796767600643,"Wet",1,"Wet",0.36257143,0.64,1.2971429,0.4703069,0.0582043,0.106,33.2873314,0,66.7126686,390.563,150.217,14.8,228.4,283.2,74.9,7.58,29,"Silt"
"81","MLP6","Muddy Creek (LP)",6,26,2023,41.14143,-104.32197,"1019",260,0.639339389,0.55402839,65.9133,0.410960915708442,"Wet",1,"Wet",0.17157143,0.45,2.1664286,0.37169724,0.02991,0.095333333,3.1548041,0,96.8451959,728.508,280.195,18,261.9,301.8,91,8.6,95,"Silt, gravel"
"82","MLP7","Muddy Creek (LP)",6,27,2023,41.1437,-104.3402,"1019",260,0.581872731,0.55402839,65.9133,0.410960915708442,"Wet",1,"Wet",0.16557143,0.34,1.9671429,0.32570265,0.00225,0.029333333,40.826301,0,59.173699,866.706,333.348,19.1,153.8,173.6,40.1,3.71,74.5,"Silt, vegetation"
"83","MLP8","Muddy Creek (LP)",NA,NA,2023,41.15125873,-104.4017659,"1019",260,0.221830306,0.08300376,65.5249,0.820336914844968,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"84","PD1","Prairie Dog Creek",9,15,2023,44.98466,-106.83976,"1009",260,0.451072732,31.71461868,60.6239,0.421133112730128,"Wet",1,"Wet",NA,NA,4.3214286,NA,1.8614,0.541333333,3.1292027,37.0659587,59.8048386,1006.039,386.938,16.3,500,600,87.5,8.57,16,"Silt, gravel"
"85","PD2","Prairie Dog Creek",9,15,2023,44.96665,-106.83718,"1009",260,0.842151508,31.71461868,60.6239,0.421133112730128,"Wet",1,"Wet",NA,NA,6.1614286,NA,1.6919285,0.610666667,0,18.9682795,81.0317205,1751.424,673.625,15,470.2,584,79.4,8,16,"Gravel, cobble"
