"id","year","month","decimallatitude","decimallongitude","sex","moistclimond","radclimond","temp","precipbioclim","pevapotranaotb","evapotransaotb","rhaotb","loc1","loc2","loc3","loc4","sample_age","pc.climate","pc1","pc2"
"MVZ93518",1943,4,19.275,-99.1388888888,"female",0.594668209552765,164.413772583008,14.9778728485107,816,54.6922988891602,47.8577003479004,45,0.299336397896582,0.114255810692375,0.0539448144902132,0.0500165030674847,69,0.445366928995222,0.44536692899522,-0.0185561257933565
"UMMZ150789",1930,4,19.3506577,-99.1003085,"female",0.508850276470184,165.602447509766,15.8743572235107,674,54.6922988891602,47.8577003479004,45,0.257548971662284,0.0669644756061934,0.0549220274612913,0.0505277154542799,82,0.445366928995222,0.44536692899522,-0.0185561257933565
"UMMZ150788",1930,4,19.3506577,-99.1003085,"male",0.508850276470184,165.602447509766,15.8743572235107,674,54.6922988891602,47.8577003479004,45,0.24194736196319,0.131663835816535,0.0581700321355536,0.0372958428279287,82,0.445366928995222,0.44536692899522,-0.0185561257933565
"UMMZ150787",1930,4,19.3506577,-99.1003085,"female",0.508850276470184,165.602447509766,15.8743572235107,674,54.6922988891602,47.8577003479004,45,0.350678033888402,0.173662316681274,0.0731624160093485,0.0605609290096407,82,0.445366928995222,0.44536692899522,-0.0185561257933565
"UMMZ150786",1930,4,19.422563,-99.183,"male",0.614738821983337,165.076599121094,15.0941104888916,714,54.6922988891602,47.8577003479004,45,0.277807157464213,0.108240952380952,0.0480173502775343,0.0491455945077418,82,0.445366928995222,0.44536692899522,-0.0185561257933565
"MVZ15516",1909,4,26.056667,-111.8172222,"male",0.250939726829529,189.12255859375,20.8506927490234,208,83.2113037109375,9.26369953155518,60,0.32393538708735,0.0902268565585743,0.0735494624598306,0.0644202249488753,103,0.909084619131677,0.909084619131675,-0.736073520939795
"MVZ15515",1909,5,26.183333,-112.066667,"female",0.200712114572525,189.930618286133,21.6335563659668,142,87.0037994384766,8.16880035400391,61,0.249348220858896,0.0814034706397897,0.0822362985685072,0.0891904820333041,103,0.922136079366987,0.922136079366986,-0.739712095455908
"MVZ15514",1909,5,26.183333,-112.066667,"female",0.200712114572525,189.930618286133,21.6335563659668,142,87.0037994384766,8.16880035400391,61,0.284260073035349,0.0984048028045574,0.0812584312007012,0.0726981507449605,103,0.922136079366987,0.922136079366986,-0.739712095455908
"MVZ50925",1927,4,27.3,-112.9,"female",0.153492942452431,191.147766113281,21.1970405578613,97,94.7078018188477,8.89280033111572,57,0.332502164767748,0.113575708442886,0.0815358954133801,0.0813848933683902,85,1.0048092163146,1.0048092163146,-0.777912787466772
"MVZ50926",1927,4,27.3,-112.9,"female",0.153492942452431,191.147766113281,21.1970405578613,97,94.7078018188477,8.89280033111572,57,0.329187402862986,0.116761121822962,0.0717502044989775,0.068999266725095,85,1.0048092163146,1.0048092163146,-0.777912787466772
"MVZ50927",1927,4,27.3,-112.9,"female",0.153492942452431,191.147766113281,21.1970405578613,97,94.7078018188477,8.89280033111572,57,0.269097879053462,0.120559465381244,0.0781468273444347,0.0858595354951797,85,1.0048092163146,1.0048092163146,-0.777912787466772
"MVZ50928",1927,4,27.3,-112.9,"male",0.153492942452431,191.147766113281,21.1970405578613,97,94.7078018188477,8.89280033111572,57,0.268820911481157,0.128153438504236,0.0819331405200117,0.0814598977505112,85,1.0048092163146,1.0048092163146,-0.777912787466772
"MVZ50924",1927,4,27.3,-112.9,"female",0.153492942452431,191.147766113281,21.1970405578613,97,94.7078018188477,8.89280033111572,57,0.355601895997663,0.140154291557114,0.0982857960853053,0.0951919164475606,85,1.0048092163146,1.0048092163146,-0.777912787466772
"UMMZ166628",1927,4,27.45,-112.85,"male",0.196914657950401,191.378021240234,19.667818069458,133,94.7078018188477,8.89280033111572,56,0.3455462342974,0.101926257668712,0.0770872421852177,0.0791940023371313,85,1.0048092163146,1.0048092163146,-0.777912787466772
"UMMZ166629",1928,5,27.45,-112.85,"female",0.196914657950401,191.378021240234,19.667818069458,133,94.7078018188477,8.89280033111572,56,0.263029865614958,0.148033911773298,0.0842871224072451,0.0895132135553608,84,1.0048092163146,1.0048092163146,-0.777912787466772
"UMMZ166630",1928,5,27.45,-112.85,"female",0.196914657950401,191.378021240234,19.667818069458,133,94.7078018188477,8.89280033111572,56,0.333294347063979,0.156851300029214,0.0887363511539586,0.0924503651767455,84,1.0048092163146,1.0048092163146,-0.777912787466772
"SDMNH30077",1958,3,29.97125,-115.236722,"male",0.211185246706009,189.536636352539,17.9801235198975,143,61.5742988586426,8.88420009613037,55,0.332693865030675,0.070514998539293,0.0590810137306456,0.0680259450774175,54,0.706466857964339,0.706466857964336,-0.887102790856527
"CAS29666",1927,6,31.50874,-110.79214,"female",0.382103741168976,182.611312866211,15.6291847229004,440,69.0057983398438,36.056999206543,40,0.362813312883436,0.114744212678937,0.10802751679813,0.0977024861232836,85,0.815560654877923,0.81556065487792,-0.928947792571567
"CAS29665",1927,6,31.50874,-110.79214,"male",0.382103741168976,182.611312866211,15.6291847229004,440,69.0057983398438,36.056999206543,40,0.300484160093485,0.15861757522641,0.10129833479404,0.0977527987145779,85,0.815560654877923,0.81556065487792,-0.928947792571567
"UMMZ166679",1920,6,31.5166667,-109.3166667,"female",0.319039523601532,179.799789428711,15.2259664535522,353,61.5042991638184,34.0480003356934,38,0.329763114227286,0.114739117732983,0.0771740140227869,0.0822650189891908,92,0.718434239151601,0.718434239151597,-0.984461237720738
"CAS40543",1902,4,31.72314,-110.18841,"male",0.296741157770157,179.486312866211,16.9853363037109,331,78.4049987792969,25.6889991760254,36,0.337742281624306,0.114538714577856,0.0920008705813613,0.0906684721004967,110,0.891682666162805,0.891682666162803,-0.967403743099685
"CAS36190",1902,7,31.87502,-110.22163,"male",0.287147164344788,180.483520507812,16.9364109039307,326,78.4049987792969,25.6889991760254,38,0.304097876132048,0.139213978965819,0.0984599503359626,0.0960385860356412,110,0.891682666162805,0.891682666162803,-0.967403743099685
"CAS40544",1902,7,31.87502,-110.22163,"female",0.287147164344788,180.483520507812,16.9364109039307,326,78.4049987792969,25.6889991760254,38,0.312126993865031,0.145041738241309,0.0886746392053754,0.0826461291264972,110,0.891682666162805,0.891682666162803,-0.967403743099685
