method,effect,estimate,lwr_95,upr_95
GAM bootstrap,Controlled direct effect,2.0806125366865373,1.52476310919725,2.524966273247334
brms posterior,Controlled direct effect,2.083891910296165,1.449187211967015,2.6266670840232447
GAM bootstrap,Indirect effect,3.8828267358623005,2.697475558957928,5.503906375528291
brms posterior,Indirect effect,3.7097304747964106,2.2382101559117915,5.399784899502768
GAM bootstrap,Total effect,5.980621445660958,4.873140616892919,7.513733154076406
brms posterior,Total effect,5.799408553069158,4.39692066461882,7.446593239127658
