.draw,method,effect,estimate
36,GAM bootstrap,Total effect,6.117386834765843
36,GAM bootstrap,Controlled direct effect,2.0214549080663815
36,GAM bootstrap,Indirect effect,4.095931926699461
37,GAM bootstrap,Total effect,5.309703656170129
37,GAM bootstrap,Controlled direct effect,1.4424291143148724
37,GAM bootstrap,Indirect effect,3.8672745418552563
38,GAM bootstrap,Total effect,6.279623365541958
38,GAM bootstrap,Controlled direct effect,2.421342698630552
38,GAM bootstrap,Indirect effect,3.8582806669114063
39,GAM bootstrap,Total effect,6.121295138038844
39,GAM bootstrap,Controlled direct effect,2.115415942168211
39,GAM bootstrap,Indirect effect,4.005879195870634
40,GAM bootstrap,Total effect,7.531483259405647
40,GAM bootstrap,Controlled direct effect,2.1364135724734528
40,GAM bootstrap,Indirect effect,5.395069686932194
41,GAM bootstrap,Total effect,6.648352924113708
41,GAM bootstrap,Controlled direct effect,1.8867150589615749
41,GAM bootstrap,Indirect effect,4.761637865152133
42,GAM bootstrap,Total effect,6.383732780418352
42,GAM bootstrap,Controlled direct effect,2.092508812394029
42,GAM bootstrap,Indirect effect,4.291223968024323
43,GAM bootstrap,Total effect,5.93837019477362
43,GAM bootstrap,Controlled direct effect,1.7934595535670996
43,GAM bootstrap,Indirect effect,4.14491064120652
44,GAM bootstrap,Total effect,5.618787154035557
44,GAM bootstrap,Controlled direct effect,2.2514687322878313
44,GAM bootstrap,Indirect effect,3.3673184217477257
45,GAM bootstrap,Total effect,6.325972585522964
45,GAM bootstrap,Controlled direct effect,2.3323586034370916
45,GAM bootstrap,Indirect effect,3.993613982085872
46,GAM bootstrap,Total effect,5.681168870158176
46,GAM bootstrap,Controlled direct effect,2.0085468714031216
46,GAM bootstrap,Indirect effect,3.6726219987550546
47,GAM bootstrap,Total effect,5.242634494534059
47,GAM bootstrap,Controlled direct effect,1.8291614765275839
47,GAM bootstrap,Indirect effect,3.413473018006475
48,GAM bootstrap,Total effect,6.3709156970959295
48,GAM bootstrap,Controlled direct effect,2.1695072710293206
48,GAM bootstrap,Indirect effect,4.2014084260666085
49,GAM bootstrap,Total effect,5.04541888487023
49,GAM bootstrap,Controlled direct effect,2.0676352770788498
49,GAM bootstrap,Indirect effect,2.9777836077913804
50,GAM bootstrap,Total effect,4.971027940230601
50,GAM bootstrap,Controlled direct effect,1.6174470336125584
50,GAM bootstrap,Indirect effect,3.353580906618043
51,GAM bootstrap,Total effect,5.33059126984398
51,GAM bootstrap,Controlled direct effect,1.894751875936183
51,GAM bootstrap,Indirect effect,3.435839393907797
52,GAM bootstrap,Total effect,5.548122973733074
52,GAM bootstrap,Controlled direct effect,2.0589101291931358
52,GAM bootstrap,Indirect effect,3.489212844539938
53,GAM bootstrap,Total effect,5.5439014642828965
53,GAM bootstrap,Controlled direct effect,2.114384878904175
53,GAM bootstrap,Indirect effect,3.4295165853787215
54,GAM bootstrap,Total effect,4.793875490583451
54,GAM bootstrap,Controlled direct effect,2.0951385325084866
54,GAM bootstrap,Indirect effect,2.6987369580749645
55,GAM bootstrap,Total effect,5.703998739861354
55,GAM bootstrap,Controlled direct effect,1.8665135267156634
55,GAM bootstrap,Indirect effect,3.8374852131456905
56,GAM bootstrap,Total effect,5.300462220025196
56,GAM bootstrap,Controlled direct effect,1.9661176766561885
56,GAM bootstrap,Indirect effect,3.3343445433690073
57,GAM bootstrap,Total effect,6.518881902134284
57,GAM bootstrap,Controlled direct effect,2.4269197546329675
57,GAM bootstrap,Indirect effect,4.091962147501317
58,GAM bootstrap,Total effect,5.033288421149228
58,GAM bootstrap,Controlled direct effect,1.90263893812681
58,GAM bootstrap,Indirect effect,3.130649483022418
59,GAM bootstrap,Total effect,6.407458503549621
59,GAM bootstrap,Controlled direct effect,1.9797964896054983
59,GAM bootstrap,Indirect effect,4.427662013944122
60,GAM bootstrap,Total effect,6.108045242685125
60,GAM bootstrap,Controlled direct effect,2.4322586140445956
60,GAM bootstrap,Indirect effect,3.6757866286405294
61,GAM bootstrap,Total effect,6.2195251943130785
61,GAM bootstrap,Controlled direct effect,2.3236262656503945
61,GAM bootstrap,Indirect effect,3.895898928662684
62,GAM bootstrap,Total effect,6.873111370066152
62,GAM bootstrap,Controlled direct effect,2.018690845546013
62,GAM bootstrap,Indirect effect,4.854420524520139
63,GAM bootstrap,Total effect,5.745897343737913
63,GAM bootstrap,Controlled direct effect,1.7706373160735867
63,GAM bootstrap,Indirect effect,3.9752600276643264
64,GAM bootstrap,Total effect,5.888078445114406
64,GAM bootstrap,Controlled direct effect,2.027895418667995
64,GAM bootstrap,Indirect effect,3.860183026446411
65,GAM bootstrap,Total effect,6.678280291586615
65,GAM bootstrap,Controlled direct effect,2.500119657461755
65,GAM bootstrap,Indirect effect,4.17816063412486
66,GAM bootstrap,Total effect,6.002969486198105
66,GAM bootstrap,Controlled direct effect,1.8705761705591621
66,GAM bootstrap,Indirect effect,4.132393315638943
67,GAM bootstrap,Total effect,5.023457586304052
67,GAM bootstrap,Controlled direct effect,2.28308463312874
67,GAM bootstrap,Indirect effect,2.740372953175312
68,GAM bootstrap,Total effect,6.695671706289336
68,GAM bootstrap,Controlled direct effect,2.2230326962993106
68,GAM bootstrap,Indirect effect,4.472639009990026
69,GAM bootstrap,Total effect,7.513278023170528
69,GAM bootstrap,Controlled direct effect,1.773483677650928
69,GAM bootstrap,Indirect effect,5.7397943455196
70,GAM bootstrap,Total effect,6.000607008094492
70,GAM bootstrap,Controlled direct effect,1.8768917598216088
70,GAM bootstrap,Indirect effect,4.123715248272883
